id,planet,house,interpretation_text,short_interpretation
2,Sun,2,"You need security and tend to attract money, but it comes into and goes out of your life rather quickly. You like to spend on luxuries, and many of your possessions increase in value over time. You often gain through influential people. Good points: generous, great reserves of strength, persistent, creative in financial affairs. Bad points: possessive, greedy, ostentatious, money and possessions become status symbols.","Creative, hardworking, businesslike, inflexible"
14,Moon,2,"You are able to earn money creatively, by using your imagination, and through the public-selling to the public, appearing in public, etc. Your financial affairs fluctuate and tend to be unsettled. You are sometimes thrifty and careful, at other times wasteful and careless. Good points: tenacious with a keen sense for what is lucrative, security-minded with an ability to plan for the future. Bad points: greedy, extravagant, you spend money emotionally and often unwisely.","Fortunate, needs to have, at risk of over dependence"
26,Mercury,2,"You are able to earn money in intellectual enterprises—-writing, teaching, lecturing—or in any field of communications. You like to spend money on travel and education, and for gadgets that make your life easier. Sometimes you have more than one source of income. Good points: quick mind for financial opportunity, good bargaining powers, talent for salesmanship. Bad points: careless with money, impractical, vulnerable to trickery and theft.","Intelligent in business, might push ideas too hard"
38,Venus,2,"You tend to prosper through social connections, marriage, or artistic pursuits. Business ventures with a partner are lucrative. You like to spend on clothes, jewels, personal adornment, and pleasures. If you are a man you tend to spend money on women. Good points: generous, fair and honest in financial dealings, an ability to use beautiful things profitably (fashion, decorating, art gallery, etc.). Bad points: extravagance, love of luxury and expensive possessions, inadequate willpower.","Drawn to things of beauty, possessive"
50,Mars,2,"You have good earning power and make gains through your own effort and competitiveness. Money is important to you, and you aggressively go after it. You tend to have frequent financial crises, but you recover quickly. Good points: efficient, enterprising about new profit-making ideas, often have your own business. Bad points: impulsive spender, lavish, careless, vulnerable to losses because of fire, haste, or rashness.","Strives for possessions and values, aggressive"
62,Jupiter,2,"You tend to make money easily and have a talent for financial dealings. Other people are attracted to your expansive ways and you often benefit through social contacts. Depending on the other factors in your chart, you will gain affluence or spend all you get in wild extravagance. Traveling or the travel industry is another source of wealth for you. Good points: honest in dealings, generous, visionary about new moneymaking ideas. Bad points: materialistic, careless, apt to suffer loss through legal entanglements.","Glories in possessions, at risk of over-indulgence"
74,Saturn,2,"You are ambitious about acquiring material comfort and tend to make long-range financial plans. You are thrifty and shrewd, cautious about your investments; blue-chip stocks are more your style than get-rich-quick schemes. Money doesn't come in quickly; gain is slow and steady, and you must put in considerable effort. Good points: practical, persevering, hardworking. Bad points: stingy, may encounter delays and obstacles in acquiring money.","Principled, rewards come only through hard work"
86,Uranus,2,"You tend to have an unusual source of income or your money opportunities pop up suddenly and unexpectedly. Your long-term financial picture will probably have spectacular fluctuations. If there are no opposing influences in your chart, you can expect to gain overall. Antiques, curios, and collectibles are lucrative for you. Good points: inventive, resourceful, unusual eye for value. Bad points: sudden losses, erratic money dealings, financial problems with friends.",Has unusual possessions and changes in fortune
98,Neptune,2,"You are intuitive and imaginative about making money. A more logical person would say your financial affairs are not run in a businesslike way. In acquiring objects, you tend to be more interested in their aesthetic value (their meaning to you), rather than their material value. Good points: generous to others in need, gain through creative work, unmaterialistic. Bad points: a careless or indifferent attitude toward money, too easily imposed on or swindled, lazy.",Needs sharp focus to turn dreams into practical reality
110,Pluto,2,"You are adventurous about money and not afraid of taking risks. You like to diversify, and during your lifetime there may be several changes in your source of income. You tend to become obsessed with possessions and finances. Good points: unique fiscal talent, resourcefulness, ability to win high return on your effort. Bad points: squanderer, selfish, tendency to be unscrupulous.",Masters insecurity to gain lasting riches
3,Sun,3,"You have an active, creative mind and need to communicate your ideas. Chances are you will be successful in writing, teaching, or lecturing. Your ability to express yourself often makes you a leader in your field. Good points: ability to study, fluent, cheerful personality. Bad points: disorganized, arrogant, tendency for misunderstandings with relatives",Natural source of information and learning
15,Moon,3,"You tend to think emotionally and have a strong imagination. You dislike routine and your life is marked by many short trips. You have a good memory, often change your opinion, and make a good impression when working with or appearing among the public. Good points: inquisitive mind, good common sense, successful writing about self or family. Bad points: moody, unstable, tendency to interfere in the lives of others.","keen to know, thirsty for information (including gossip)"
27,Mercury,3,"You have an alert manner and are versatile in handling both people and projects. You are practical and efficient at coping with details. People are drawn to your wit and humor and your eloquence in expressing yourself. Good points: curious, logical, intelligent, sociable. Bad points: nervous worrier, apt to quarrel with relatives.","quick-thinking, naturally curious, loquacious"
39,Venus,3,"You are artistic, have an innate sense of taste and design, and win attention for your ideas in a way that people find charming. Your social life may involve taking a number of trips. Love may come about because of travel or through correspondence. Good points: cheerful, creative, eloquent in both speech and writing. Bad points: mentally lazy, superficial, too swayed by emotion.","Good with siblings and neighbors, prefers to hear “good news”"
51,Mars,3,"You are determined and active and usually speak your mind. You like to be a leader and often get your way in things because you are so persuasive. You tend to drive too fast or encounter difficulties while traveling. Good points: alert, full of new ideas, can express yourself creatively. Bad points: argumentative, especially with relatives, vulnerable to loss in legal disputes.","forceful communicator, challenging ideas"
63,Jupiter,3,"You have an optimistic outlook and like to keep busy with a variety of intellectual interests. Your mind is not content with a little knowledge; you want to know more. Travel is a beneficial influence for both pleasure and profit. Good points: curious and open to new experience, able to share ideas, good relationships with relatives. Bad points: restless, impractical, reckless.",keen to expand understanding
75,Saturn,3,"You have a practical and rather serious mind; you want to learn things so you can put them to use. You have good powers of observation, and prefer to deal in facts rather than theories. You sometimes procrastinate because you wait to make the right decision. You may encounter difficulties or obstacles in getting an education. Good points: contemplative, persevering, conscientious. Bad points: prone to pessimism, estrangement from relatives.","considers ideas carefully, tends to hold back"
87,Uranus,3,"You have an independent and inventive mind and like to follow your own road rather than someone else's. Travel in your life often comes up suddenly. At times you can be strikingly original in the way you speak and write. Good points: creative, ingenious, versatile. Bad points: restless, friction with relatives because of unconventional ideas, prone to accidents while traveling.",has original ideas that upset some and excite others
99,Neptune,3,"Your mind is impressionable and imaginative, and you may have psychic feelings about other people. You have a deep need to learn about life and are attracted to occult studies. You like to daydream and fantasize. Good points: idealistic, intuitive, artistic. Bad points: discontented, may undervalue your capabilities, confused dealings with relatives.",finds it easier to be understood in spiritual or artistic situations
111,Pluto,3,"You have a penetrating mind and seek to learn as much as possible. There is an intensity to the way you speak and write, which you can often use creatively. Travel opens new experiences for you and sometimes marks a significant turning point in your life. Good points: curious, good concentration, original in your thinking. Bad points: suspicious, manipulative, you want to dominate others.",poses deep questions that may upset convention
4,Sun,4,You take pride in your home and family; from the time you were young you had a deep need to establish roots. One or both of your parents was a dominant influence in your life; in some cases you had to struggle for independence. Conditions surrounding the end of your life promise to be fortunate. Good point: you may benefit through inheritance. Bad point: you have a tendency to feel insecure.,Identifies strongly with home and family
16,Moon,4,"You are protective toward your family and are (may become) a devoted parent. During your lifetime you can expect to change residences often, and you like to live near water. During the latter part of life you may achieve public recognition. Good point: financial acumen in real estate or family possessions. Bad point: you resist facing up to reality.","nurturing, home-loving, finds stability vital"
28,Mercury,4,"Your home is often a place of study or work, and the work you do may lead to changes in your residence. Your parents and early home life stimulated your curiosity to learn. In your latter years you can expect to be mentally active and to have many contacts throughout the world. Good point: you deal rationally with family and as a parent. Bad point: restlessness and difficulty in settling down.","bright and intelligent, has a home life full of variety"
40,Venus,4,Your home is usually your showplace and you like to surround yourself with beautiful things. You tend to have happy memories of childhood and are probably attached to your mother. Circumstances at the end of your life promise to be peaceful. Good point: you promote harmony in domestic relationships. Bad point: you are extravagant in buying possessions for your home.,"prefers beautiful, friendly, comfortable environment"
52,Mars,4,"You have a great desire to own your own home so that you can live independently. In your childhood you may have been in conflict with parents, especially your father. Your latter years promise to be active, and you are unlikely to be dependent on others for a place to live. Good point: enterprising about making money at home. Bad point: quarrelsome in domestic relations.",restlessly active and independent; avoid aggression
64,Jupiter,4,"You tend to be happy and comfortable a t home, and take pride in your family. In childhood you probably felt secure and loved by your parents, and you inherit from them in either a spiritual or material way. The latter part of your life should find you in comfortable circumstances. Good point: you should find material success i n the city or country of your birth. Bad point: extravagant and overgenerous i n domes-tic affairs or as a parent.","Idealistic, generous parent, needs a good-sized home"
76,Saturn,4,"You are concerned about and devoted to your family. In childhood you may have assumed responsibility at an early age. Saturn in the Fourth House sometimes indicates an early loss of a father. You will look after those who cared for you as a child when they are old. You plan carefully for security in your old age, and are likely to spend your last years alone and independent. Good point: gain through real estate. Bad point: difficulty expressing feelings to family members.",Can create reliable foundations through hard rules and lessons
88,Uranus,4,"You are not a domesticated creature and need a certain amount of independence. You have had a different childhood from your friends, or your parents may have had unusual careers. Your life may take a sudden turn and your latter years will be spent in an environment you cannot yet envision. Good point: successful at entertaining groups in your home. Bad point: you can be a disruptive influence in family relations.",changeable or unconventional home life
100,Neptune,4,You probably have an idealized picture of what home life should be like and are vaguely dissatisfied with what it really is. There may be family skeletons hidden somewhere. Your latter years will likely be spent in a faraway place. Good point: you are (may become) an imaginative and stimulating parent. Bad point: tendency for confusion and misunderstandings in family affairs.,fantasizes about “dream home”
112,Pluto,4,"You care intensely about family matters and want to dominate in your own home. Your parents were probably a profound influence on you, but you may never resolve your mixed feelings about your early home life. Your latter years may be spent secluded and isolated, perhaps working on an important project. Good point: you feel responsibility toward the family. Bad point: may suffer early loss of parent or guardian.",mastery comes from living with uncertain undercurrents
5,Sun,5,You are impulsive about love and tend to follow your heart rather than your head. You seek out pleasure in life; one of your love affairs is likely to become public knowledge. You may have a child who becomes famous. Good point: romantic and creative imagination. Bad point: overprotective and possessive of lovers and/or children.,"creative, childlike, fun-loving"
17,Moon,5,You are impulsive about love and tend to follow your heart rather than your head. You seek out pleasure in life; one of your love affairs is likely to become public knowledge. You may have a child who becomes famous. Good point: romantic and creative imagination. Bad point: overprotective and possessive of lovers and/or children.,"Entertaining, encouraging, hedonistic"
29,Mercury,5,"You like change and new people, and probably have a number of love affairs. A lover must keep you intellectually interested or you become bored. You have a dramatic way of expressing yourself, and may possess artistic talent. Good point: flair for communicating with the public. Bad point: overcritical with loved ones.","Confident with words and ideas, needs objectivity"
41,Venus,5,"You like social life and being in the spotlight. You attract romance, and usually have many lovers. You take pleasure in creative work and are affectionate with children. Good point: you have the talent to succeed in the artistic and entertainment world. Bad point: self-indulgent and overly fond of applause.","appreciates beauty, revels in pleasure"
53,Mars,5,"You are rash and impulsive in love affairs, and sometimes too impatient in lovemaking. You are competitive (in love, sports, socially) and need to be a winner. You have a personal magnetism that draws people to you. Good point: leadership ability. Bad point: conflicts with loved ones because of ego.","Competitive, with a taste for risk and possibly gambling"
65,Jupiter,5,"You enjoy most forms of recreation—sporting events, parties, and theater are special favorites. If there are no opposing influences in your chart, you will be lucky in speculation. You are sometimes indiscreet about love affairs. Good point: children bring happiness. Bad point: extravagant; sometimes gambling losses.","Enthusiastically creative, generous toward children"
77,Saturn,5,"Because you are disciplined and take life seriously, you often don't allow yourself to relax and have fun. You have strong feelings about those you love, but you also need their respect. You may be stern with children. Your periods of unhappiness have taught you a lesson in life. Good point: conscious of duty and responsibility to loved ones. Bad point: fear of giving too much of yourself in love.",has a more serious and responsible approach to pleasure
89,Uranus,5,You are prone to sudden infatuations that also end abruptly. You may be engaged to marry and then break the engagement. You like novelty and experimentation in sex. Good point: innovative and inventive in creative expression. Bad point: may be estranged from children.,original and innovative creativity and offspring
101,Neptune,5,"You love pleasure and luxury (sometimes too much); you are very drawn to the theater or cinema. You bring a fantasy quality to lovemaking. You may be involved in one or more illicit love affairs, which may cause sorrow. Good point: artistic talent, especially as actress or actor. Bad point: vulnerable to loss through gambling or fraud.","Fascinating, will give anything to find a “muse” for inspiration"
113,Pluto,5,You are impetuous and passionate and will follow your desires where they lead you. You exaggerate the importance of your love affairs until you become intensely involved. You have a strong artistic bent. Good point: you feel responsibility to loved ones. Bad point: you harbor resentment against a past love.,has obsessive and often overwhelming creative urge
6,Sun,6,"You take pride in your work and have a talent for organization. You need to feel appreciated. Health tends to be good, with strong recuperative powers, though you are subject to occasional nagging health problems. Good point: you're an efficient problem solver. Bad point: you can be fussy and difficult to work for.","hard-working, responsible, cares for self, too"
18,Moon,6,You may change jobs frequently until you find something that truly suits you. Unhappiness at work may affect your health adversely. You may be especially prone to stomach trouble. Good point: intuitive and imaginative in work. Bad point: unstable and indecisive about responsibility.,deeply concerned about own and other’s health
30,Mercury,6,"You are something of a perfectionist, which can make day-to-day problems seem overwhelming. You take an interest in health, diet, and hygiene, and are usually well informed about the latest on these subjects. You have a tendency to be nervous and may have respiratory or stomach problems. Good point: practical and efficient, especially in work involving writing or communications. Bad point: a worrier about health and work.","best working in communications or cataloging, but avoiding mental stress"
42,Venus,6,"You strive for harmony and good relationships with associates on the job. You don't like hard or gritty physical labor. Health is good, though you tend to overindulge in eating and drinking. Good point: work situation may bring romance. Bad point: tendency to laziness and letting others do the chores.",Insecure without a pleasant and healthy work atmosphere
54,Mars,6,"In your work you set out to accomplish things. Keeping impulsiveness under control will make you more efficient. You drive yourself hard and expect others to perform at your level. You have vitality and energy, but are prone to careless accidents. Good point: can initiate new work methods. Bad point: at times intolerant and argumentative with coworkers.","Enjoys vigorous work, tends to be over competitive"
66,Jupiter,6,"You tend to be successful in work and get along well with associates. You are loyal and dependable, and Jupiter usually brings monetary reward. You love good food and tend to gain weight. Good point: work brings opportunity for travel and expansion. Bad point: health problems because of overindulgence.","Strongly committed to work, must be wary of overcommitment"
78,Saturn,6,You are a conscientious and reliable worker and handle responsibility well. You are exacting in your demands on yourself. Health may be under strain due to overwork or because you tend to neglect looking after yourself. Good point: you are admired by colleagues and associates. Bad point: you can't accept that there are limitations and obstacles beyond your control.,"Best if in control of work and health, not controlled by them"
90,Uranus,6,"You think of new methods or original ideas in plying your trade. You are also erratic and impatient, and sometimes don't achieve as much as a more thorough and disciplined worker. Your health is subject to unusual complaints that are difficult to diagnose or treat. Good point: ability to modernize, streamline, or improve old ideas. Bad point: inconsistency in output and devotion to a task.","Suited to electronics or social work, attracted to the erratic and revolutionary"
102,Neptune,6,"You are idealistic about your work, sensitive to your surroundings and associates. You may have difficulty finding the right circumstances in which you can be happy and comfortable. Health is subject to strange ailments; drugs are a particular hazard and their use should be supervised by a doctor. Good point: a desire to help the unfortunate. Bad point: inclined to laziness and merely drifting along.","Try to be sensitive to others, while taking care of own needs"
114,Pluto,6,You have great power of concentration and are intent on seeing results. You tend to overwork yourself. You take an interest in medicine and health and are sometimes gifted in the healing arts. Good point: the work you do can inspire others. Bad point: physical energy is often sapped by job pressures.,Bravely faces unnerving challenges in work and health
7,Sun,7,"You are promised success in marriage and in partnerships. Both should bring material, monetary, and social benefits. You may not marry young; your spouse will probably be prominent or of good and honorable character. Sex is important to you in marriage. Good point: you are popular and know how to attract people. Bad point: clashes at times because of your need to be dominant in relationships.","Relationships are central to life, making us shine"
19,Moon,7,Security is very important to you in marriage and relationships. Chances are you will marry a parental figure of some kind. Your spouse will probably be protective of you. You are likely to become popular with the public at some time in your life. Good point: responsive in partnerships; sensual in marriage. Bad point: changeable in your love relationships; possible divorce.,"accommodating and supportive, perhaps overanxious"
31,Mercury,7,"You seek intellectual compatibility in marriage and partnerships. You will probably marry someone lively and talkative; verbal give-and-take characterizes your intimate relationships. Business partnerships in law, literary, or communications world are beneficial. Good point: you are sociable, adaptable to all kinds of people. Bad point: stress in relationships because of quarrels and arguments.","keen to talk through issues, though words don’t always hold the answers"
43,Venus,7,"You look for harmony and fulfillment in both marriage and partnerships. You are affectionate, romantic, and popular with the opposite sex. At some point in your life you are likely to gain prestige or financial benefit through a mate or partner. You tend to marry early and possibly more than once. Good point: you are a natural peacemaker. Bad point: resentful if others do not make the first move toward you.","loves company, cannot do enough for people"
55,Mars,7,"You are a highly independent individual and won't give that up in a marriage or partnership. Your relationships begin impulsively, and you are usually the aggressive one. Mars in the Seventh House indicates that you may marry more than once, or that a marriage or business partnership may end because of the death of a partner. Good point: ardent and sexually passionate in marriage. Bad point: arguments and quarrels in relationships; possible early divorce.",drawn to challenging and exciting relationships that are not always stable
67,Jupiter,7,"You are successful in marriage and partnerships, and are likely to gain power and prestige through both. Jupiter in the Seventh House often means you will marry twice and that one of your mates is likely to be powerful or wealthy. During your lifetime your adversaries often become friends, and conflicts have a beneficial ending. Good point: legal partnerships tend to be fruitful. Bad point: overgenerosity and placing your trust in the wrong person.",keen to bring people together
79,Saturn,7,"You are cautious about marriage and partnerships, and may delay getting involved until you are sure. You often marry a widow or widower or someone older than yourself. If there are no opposing influences in your chart, you benefit monetarily or socially through marriage. Good point: you take commitment to another person seriously. Bad point: possible legal problems and a setback because of them.",strong and reliable; relationships can be difficult but persistence bears fruit
91,Uranus,7,"Partnerships or marriage may come about suddenly for you. You are drawn to unusual people and are likely to marry someone intellectually stimulating. As a team you will draw attention. However, Uranus in the Seventh House indicates the possibility of sudden divorce and remarriage. Good point: you are able to achieve goals through a marriage partner. Bad point: your need for independence may cause disruption or jealousy in marriage.",drawn to unusual and electric connections that can stimulate and unnerve
103,Neptune,7,"In marriage and partnerships you look for compatibility of spirit, common goals in life, or an artistic or religious vision that you share. However, an unrealistic or confused attitude about what you want in a partner may lead to the possibility of an illicit love affair while married. Good point: sensitive and responsive to needs of partner. Bad point: too easily swayed; open to disappointment.","sharing a fascination with art, fashion and music helps to focus relationships"
115,Pluto,7,"You are intense and dominating in relationships. You seek fulfillment in marriage and are emotionally demanding. Pluto in the Seventh House indicates that you may marry in secret or elope. Business partnerships are likely to be successful. Good point: you are intuitive about partner's needs. Bad point: strife, jealousy, and emotionalism in relationships.",relationships tend to be rollercoasters of uncertainty
8,Sun,8,You are philosophical and have deep insights; you strive for self-improvement. You may benefit from inheritance or from money through a marriage partner. There is the possibility of achieving fame near the end of your life or after death. Good point: you take pride in responsibilities. Bad point: may suffer the early loss of father or husband.,fascinated by knowing and sharing
20,Moon,8,"You are a deeply sensitive person with a talent for healing. You have strong powers of suggestion. You are interested in questions about death and an afterlife, and quite possibly have psychic ability that you can use in a practical way. You are highly responsive sexually. Finances may be unsettled because of marriage or inheritance. Good point: you can guide others in a spiritual way. Bad point: may suffer the early loss of mother or wife.","drawn to thrilling, passionate involvements, may create enemies"
32,Mercury,8,"You have a penetrating mind and look for some way to communicate your insights. You have a talent for research and analysis. Money comes to you through other people or a marriage partner, but there may be insurance or legal problems. Good point: ability to see into human motivation. Bad point: may suffer the early death of a relative.","Naturally curious to understand, can seem nosy"
44,Venus,8,"You are intense about sexual involvements and look for fulfillment in them. You are likely to inherit money from a loved one or a marriage partner, or to gain from the career advancement of someone who loves you. Circumstances surrounding your death promise to be peaceful. Good point: sexual relationships tend to be harmonious. Bad point: laxness and reluctance to handle responsibilities.","loves to share and feel, providing nothing is lost"
56,Mars,8,"You are passionate about life and have a strong sex drive. You are attracted to the occult, also to medicine and the healing arts. There may be conflicts in your family over wills or legacies. Good point: powerful and brilliant researcher. Bad point: need to protect yourself against financial loss because of an extravagant partner.","courageous and effective, but best to avoid causing schisms"
68,Jupiter,8,"You tend to have an optimistic and healthy attitude toward life and death, and an abundant sex drive. You will probably enjoy financial gain through inheritance or marriage. Jupiter in this House promises easy and peaceful conditions at your death. Good point: your philosophy of life can inspire others. Bad point: possibility of wasting other people's money.",makes full use of others and their resources
80,Saturn,8,You take responsibility for others and may become involved in their financial affairs. You are inclined to be somewhat inhibited sexually or to have difficulty expressing yourself emotionally in sex. Saturn in the Eighth House usually indicates that you will live until ripe old age. Good point: you are careful about putting aside money to protect loved ones. Bad point: difficulties over property matters or inheritance.,"responsible and restrained, but may block understanding by denying desire"
92,Uranus,8,"You have an unusual outlook on life and death, and possibly an interest in the mystical. Sexual tastes or involvements are likely to be unconventional. You may receive sudden financial benefits from unexpected sources. Good point: you feel a responsibility to others. Bad point: risk of loss through business deals.","may find that unusual surprises open the mind, leading to unexpected opportunities"
104,Neptune,8,You are something of a visionary and seek to give your life more meaning. You may be gifted as a medium or possess strong ESP powers. Finances that you share with a marriage partner are a source of trouble or confusion. Good point: an idealistic desire to help others in need. Bad point: may suffer disappointment or be deluded in a sexual relationship.,May find situations unclear if honestly shared convictions are lacking
116,Pluto,8,You have a strong drive toward achievement combined with a need to analyze what you do. You are dominant and passionate in your sexual nature. Pluto in this House indicates that your death will be of public concern. Good point: self-reliant and resourceful. Bad point: prone toward developing unhealthy obsessions.,May become more focused by living with insecurity
9,Sun,9,You enjoy seeing new places and exploring new ideas. You are a person who stands by your word and tends to be idealistic. You may spend a good deal of time traveling abroad. Good point: you believe in and pursue an education. Bad point: may become fanatical about your ideas.,"Outward looking, strong convictions, natural traveller"
21,Moon,9,"You have a receptive, imaginative mind capable of delving into philosophical ideas. You are attracted by the unknown; in your work you may delve into history or the past. At some time in your career you are likely to benefit from in-laws or relatives of the person you marry. Good point: you will have happy experiences on voyages or travel. Bad point: tendency to be vague, dreamy, and impractical.","expansively imaginative, supportive, unrealistic"
33,Mercury,9,"You are alert and adaptable, quick to establish rapport with new people. Yours is an exploratory nature, interested in gaining further knowledge. During your middle years you may travel a great deal, both for health and your work. Good point: mentally advanced. Bad point: inclined to be meddlesome and to make promises too readily.","keen to know and learn everything, may be overconfident"
45,Venus,9,You have warmth and understanding for people from different backgrounds. You are open to new ideas and experiences. Chances are good that you will receive some kind of honor in life. You may possibly be married abroad or marry a foreigner. Good point: high ideals. Bad point: you long for the unattainable.,"loves to be on the move, to explore and know"
57,Mars,9,"You are independent in thought and open to change, and you enjoy travel and adventure. You will fight for your convictions. You seek out experience because you want to live life to the fullest. Good point: will gain in honor or financially through higher education. Bad point: can be headstrong and fanatical about ideas.",seeks adventure and meaning in active living anbd busy places
69,Jupiter,9,"You have strong principles, are adventurous and optimistic. Travel and education open new doors for you and may lead to monetary gain. You have a flair for languages or an ability to express yourself well. Good point: foreign places and/or people contribute to your success. Bad point: can be arrogant and self-righteous.","explorer, philosopher, idealist"
81,Saturn,9,"You are thoughtful and contemplative and have a desire to learn. You delve seriously into questions of philosophy, faith, or religion. Contacts with foreigners are beneficial in your life, especially with older people. Good point: idealistic principles. Bad point: obstacles or limitations to receiving an education.","a realist, may be an exile or have problems overseas"
93,Uranus,9,"You have an independent mind, and seek to widen your intellectual horizons. You may be known for your unorthodox views or interest in unusual branches of study. Opportunities for travel may come up suddenly, or you may experience exciting events in foreign countries. Good point: adventurous and open to new experience. Bad point: inclined to be rebellious.",drawn to reveolutionary interest and beliefs
105,Neptune,9,"You are drawn to deeper concerns in life, perhaps mystical or philosophical questions. You have imagination and insight, and probably make a fine teacher or counselor. There may be complications or difficulties in traveling abroad. Good point: visionary and idealistic. Bad point: a tendency to be discontented with your lot.",fascinated by spiritual explorations but not always satisfied
117,Pluto,9,You have an urge to discover the truth and perhaps change things for the better. You take an intense interest in other cultures and in different religions and philosophies. Travel and foreign people may affect you deeply. Good point: a desire for deeper understanding. Bad point: you try to impose your views on others.,drawn to unusual and dangerous places and possibilities
10,Sun,10,You enjoy seeing new places and exploring new ideas. You are a person who stands by your word and tends to be idealistic. You may spend a good deal of time traveling abroad. Good point: you believe in and pursue an education. Bad point: may become fanatical about your ideas.,"confident, looked up to, self-conscious"
22,Moon,10,"You have a receptive, imaginative mind capable of delving into philosophical ideas. You are attracted by the unknown; in your work you may delve into history or the past. At some time in your career you are likely to benefit from in-laws or relatives of the person you marry. Good point: you will have happy experiences on voyages or travel. Bad point: tendency to be vague, dreamy, and impractical.","popular, ambitious, intuitive, seeks recognition"
34,Mercury,10,"You are alert and adaptable, quick to establish rapport with new people. Yours is an exploratory nature, interested in gaining further knowledge. During your middle years you may travel a great deal, both for health and your work. Good point: mentally advanced. Bad point: inclined to be meddlesome and to make promises too readily.","easily noticed communicator, natural spokes person"
46,Venus,10,You have warmth and understanding for people from different backgrounds. You are open to new ideas and experiences. Chances are good that you will receive some kind of honor in life. You may possibly be married abroad or marry a foreigner. Good point: high ideals. Bad point: you long for the unattainable.,"Attractive, admired, irresistible"
58,Mars,10,"You are independent in thought and open to change, and you enjoy travel and adventure. You will fight for your convictions. You seek out experience because you want to live life to the fullest. Good point: will gain in honor or financially through higher education. Bad point: can be headstrong and fanatical about ideas.","ambitious, highly charged, challenging, successful"
70,Jupiter,10,"You have strong principles, are adventurous and optimistic. Travel and education open new doors for you and may lead to monetary gain. You have a flair for languages or an ability to express yourself well. Good point: foreign places and/or people contribute to your success. Bad point: can be arrogant and self-righteous.","important, likeable, easy to follow"
82,Saturn,10,"You are thoughtful and contemplative and have a desire to learn. You delve seriously into questions of philosophy, faith, or religion. Contacts with foreigners are beneficial in your life, especially with older people. Good point: idealistic principles. Bad point: obstacles or limitations to receiving an education.","serious, sensible, controlling"
94,Uranus,10,"You have an independent mind, and seek to widen your intellectual horizons. You may be known for your unorthodox views or interest in unusual branches of study. Opportunities for travel may come up suddenly, or you may experience exciting events in foreign countries. Good point: adventurous and open to new experience. Bad point: inclined to be rebellious.","inventive, changeable, disruptive"
106,Neptune,10,"You are drawn to deeper concerns in life, perhaps mystical or philosophical questions. You have imagination and insight, and probably make a fine teacher or counselor. There may be complications or difficulties in traveling abroad. Good point: visionary and idealistic. Bad point: a tendency to be discontented with your lot.","fascinating, symathetic, unfathomable"
