house,sign,interpretation
1,Taurus,"You love habits and routine, rich food, and serenity, and you hate change. That’s your comfort zone, and you see no reason to have it any other way. Determination, practicality, and slow, steady progress are part of your makeup. Used positively, these traits give you a strong commitment to goals and willpower to overcome obstacles."
1,Virgo,"You’re reserved, even shy, and although this diminishes with age and experience, you’ll always feel most comfortable with people you know well. Work is a dominant theme in your life, and everything is filtered through your practical mind. You even analyze how you feel, and can be your worst critic."
2,Aquarius,"Your imagination sparks innovative moneymaking ideas, both practical and impractical. Follow through on the most realistic ones. Money matters fluctuate from windfalls to unexpected expenses and everything in between, so make savings and budgeting priorities. Build a personal nest egg."
2,Aries,"You direct much energy into moneymaking activities and have the initiative to pursue them with the highest potential return. Impulsive spending, however, can leave you with little to show for your efforts. Put yourself on a budget that includes monthly savings goals and contributions to your retirement account."
2,Cancer,"Emotional security is linked to material resources —money, investments, home ownership, and possessions. But you may have difficulty setting limits and never feel that enough is enough, no matter the size of your bank account. If so, examine your fears and motives. You’re thrifty but generous with loved ones."
2,Capricorn,"You're thrifty and cautious, but some people with Capricorn here are miserly. It all depends on your mindset and your security needs. Your ambitions are directed toward materialistic gain, and with careful, realistic money management and the right attitude, you can amass sizable assets in your lifetime."
2,Gemini,"You have plenty of moneymaking ideas and want to pursue them all. Be selective and do one or two well to increase income potential, possibly through a sideline or freelance work in addition to your day job. Earnings fluctuate, so budgeting and regular savings are to your advantage to meet the inevitable unexpected expenses."
2,Leo,"You have a taste for luxury, designer labels, and jewelry. You also have excellent earning potential. Keep the two in line rather than finance your desires through credit, and take pride in saving, investing, and providing for your retirement. You’re likely to splurge on entertainment, romance, and children."
2,Libra,"You have excellent earning potential, but also like to spend. That makes it a necessity to budget and use credit wisely. Do so consistently, and you can build sizable assets to fund a comfortable lifestyle and the quality goods you desire. You also have an eye for value and a sixth sense for bargains."
2,Pisces,"You can be impractical in money matters, but also inspired and intuitive. Tap into your common sense, and consult someone trustworthy about major financial decisions. Also plan, develop, and implement realistic, practical money-making ideas, and avoid those that promise quick returns."
2,Sagittarius,"Although you attract material abundance, you might do the same with debt, spending as fast as—or faster than—you earn. Good luck usually sees you through lean times, but not always. Tap into your common sense, save, budget, and replace shopping with a creative hobby that can net a sideline income."
2,Scorpio,"You have an intense drive not only to make money but to amass wealth, which is highly possible. Secretive about finances, you consider money matters to be personal and private. You're also a saver and can do well with investments. When you spend, you do it on a grand scale. Power shopping is your specialty."
2,Taurus,"The need for financial security and a comfortable lifestyle motivates you to maximize your excellent earning potential. Practical and realistic in money matters, you’re also thrifty and have a sixth sense for bargains. Good value is important to you and the deciding factor in most purchases. You have a taste for luxury."
2,Virgo,"You’re financially thrifty and practical. You pay close attention to budgeting and keep meticulous records and files. Credit is rarely a problem because you live within your means and save regularly. Although occasionally extravagant, you prefer to shop sales and outlets to get quality at a reasonable price."
3,Aquarius,"You're a lively conversationalist and an independent thinker, with a wealth of unique, farsighted ideas.
Intuitive and innovative, you spot easier, simpler ways to do things. As open as you are to what's new and different, you're also stubborn and opinionated at times. Study habits are inconsistent."
3,Aries,"You’re a decisive, quick thinker, an idea person who avidly expresses thoughts and opinions. You can be argumentative at times and make snap decisions when caution would be a better choice. Although concentration is a challenge, you’re also a quick study, a rapid and active learner. Sibling rivalry is the norm."
3,Cancer,"Feelings affect your thoughts and decision making, which are subjective and often based on family influences. You’re intuitive and have an active imagination and excellent memory. Learning and concentration depend on your mood and level of interest. Emotional ties with relatives run deep."
3,Capricorn,"Your powers of concentration are among the best, as are your planning and organizational abilities. As a student, you can excel, especially in subjects that are of practical use. Cautious in speech, you voice your ideas only when you're positive they're accurate. There may be a wide age span between you and your siblings."
3,Gemini,"You’re a natural communicator, curious, logical, and quick-thinking. Ideas are your specialty, but a short attention span can make depth of learning a challenge except in areas that capture your passionate interest. Phones and electronic devices are among your favorite possessions, and you enjoy puzzles and games."
3,Leo,"You’re open-minded but also opinionated, and express your creativity, thoughts, and ideas with flair. You also have a gift for motivating others and could be an inspirational speaker or writer. Learning motivates you if you’re interested in the subject or consider it one for personal gain. Sibling relationships are affectionate."
3,Libra,"Tactful and considerate, you have a sharp mind that's especially attuned to other people. You're also an excellent conversationalist and enjoy lively talk and debate. Many with Libra here are avid readers but lazy students, unless the subject is of interest. Sibling ties are close and neighbor relationships congenial."
3,Pisces,"You're intuitive, imaginative, and creative, with a strong visual orientation and possibly a photographic memory. But concentration and study are often interrupted by daydreams and wishful thinking; music may help overcome this. You're also a charmer with a knack for promoting your ideas."
3,Sagittarius,"Curiosity and a broad range of interests make you a perpetual student, although not necessarily of the classroom variety. Conversation and technology keep you in the know. People enjoy your wit and optimism, but at times you can be blunt and outspoken. Tactful comments net more positive results."
3,Scorpio,"Anyone who tries to change your mind quickly learns that you rarely do so. You're also secretive about your life and plans and often withhold information for no reason other than privacy. A shrewd, intense mind gives you a talent for research, and you often sense what others are thinking but not saying."
3,Taurus,"You’re a patient, thoughtful thinker and planner who won’t be rushed into decisions. Once your mind is made up, you rarely change it. Your powers of concentration are excellent, and what you learn, you learn thoroughly. Relationships with siblings are generally close and affectionate, and you’re a helpful neighbor."
3,Virgo,"You’re an excellent planner and organizer, giving every detail equal attention. You take the same approach with decision making; you gather information and carefully weigh the pros and cons. Chitchat isn’t your style except with those you know well, and you enjoy puzzles and games. At times, you can be critical of people, especially relatives."
4,Aquarius,"Your home is a gathering place for friends, and you may favor contemporary furnishings. Home and family life, both as a child and an adult, is unusual in some way, including frequent moves. Parental relationships are friendly but not necessarily close unless you view them as friends."
4,Aries,"Home life is never boring, as Aries promotes a lively environment and a busy family. However, there could be conflict with Aries here, either during your childhood or adult life, because everyone wants to be in charge. You might become the mediator, the one who promotes compromise to ensure peace."
4,Cancer,"You desire a traditional home and family life. Time with loved ones brings out your nurturing qualities, and you have strong emotional ties with immediate and extended family. A warm home environment pleases you, and you want it and its contents to reflect your career and community status."
4,Capricorn,"Your childhood environment may have been highly disciplined, with little time for frivolity, although you have deep ties to loved ones and feel a sense of responsibility for your parents. Traditional décor probably appeals to you, along with accents of dark colors that are unusual but stunning."
4,Gemini,"There’s nothing constant about your home life. Activities, entertaining, and coming and going are the norm, along with a lively intellectual atmosphere. You may have an extensive library in addition to the latest technology. Relationships with siblings and other relatives are changeable."
4,Leo,"You want a beautifully decorated and furnished home, one that boosts your ego and reflects your success—a royal palace to call your own. Size, however, isn’t as important to you as the right address. Family loyalty is strong, and you’re influential in family affairs, although these relationships may not be especially close."
4,Libra,"Family relationships are close and congenial, with an emphasis on communication, although even minor conflict is avoided. You want your home to reflect your good taste with the latest in décor and furnishings, and you may collect artwork or china and decorate in white and various pastels."
4,Pisces,"Your home is your haven, the place where you feel comfortable and totally yourself. Family relationships, however, can be murky and prone to misunderstandings. One of your parents may have been absent or a substance abuser. You have strong emotions, positive or negative, about your childhood."
4,Sagittarius,"Home is one of your favorite locations, and you simply enjoy being there. Large, open rooms appeal to you, and you usually have many domestic projects in various stages of completion. With so much going on, your home is likely to be messy. Family relationships are close, loving, and beneficial."
4,Scorpio,"You're loyal and highly protective of loved ones. Family feelings run deep, although a parent may have been demanding. You prefer to keep family matters private, even those that are inconsequential, and impromptu visitors are discouraged. Home improvement projects are favorite weekend activities."
4,Taurus,"You want a home designed for comfort and practicality and one with plenty of space for all your possessions, including collectibles. Your place is also something of an artistic showplace, with artwork and décor. Family relationships under Taurus are generally favorable, and you could benefit from a relative’s legacy."
4,Virgo,"Whether your home is neat or messy, it’s undoubtedly clean and ultimately practical and functional. Many people with a Virgo IC enjoy working around the house, gardening and doing home improvement projects. One of your parents may be highly critical, a factor that shaped your childhood foundation."
5,Aquarius,"A romance that's also a close friendship is your ideal, and commitment may evolve over time with someone who is first a friend. You also enjoy an active social life and leisure-time activities with friends.
Hobbies and interests may be unusual. You and your children are close friends as adults."
5,Aries,"You express your individuality through leisure-time activities—creative pursuits, athletics, socializing, and a lively, ardent romantic life. Playing the field excites you, as does the thrill of new love. If you’re a parent, you’re actively involved in your children’s lives, although at times you’re impatient with them."
5,Cancer,"Sentimental and romantic, you invest your emotional self in your love life. But your feelings also are easily hurt and breakups difficult. Most people with Cancer here want children and instinctively nurture and protect them, sometimes too much so. Your home is a reflection of your creativity, in terms of both home décor and improvements and of leisure-time activities and hobbies."
5,Capricorn,"You take matters of the heart seriously and see no reason to date just to date. Once committed, however, your sensuality emerges and you love with all your soul. Hobbies are likely to be practical and useful, such as gardening, home improvement, woodworking, and furniture refinishing. If you're a parent, you're a responsible one."
5,Gemini,"You’re fun and flirtatious and delight in playing the field, sometimes with two simultaneous romances. Once committed, your playfulness helps keep love alive, along with long walks and talks. Your many hobbies are creative outlets, and you could have writing talent. Twins are possible with Gemini here."
5,Leo,"You’re a true romantic—dramatic, affectionate, and passionate about your love life from the first date through long-term commitment. Although you’re fond of children, you may have none or only one of your own. You take pride in your creativity and fill your leisure hours with hobbies and an active social life."
5,Libra,"Romance is high on your priority list, but you may stick with a relationship just for the companionship. You have an active social life to fill evening and weekend hours, along with a variety of hobbies and interests. You and/or your children may have artistic talent or an interest in the arts."
5,Pisces,"Loving and sentimental, you're a true romantic. You follow your heart and believe love conquers all, but this also can make you vulnerable to disappointment and disillusionment. Children are something of a mystery to you, although emotional ties are strong. Your creative talent may be exceptional."
5,Sagittarius,"Your playful spirit delights in romance and enjoys each moment to the max. Commitment deepens your passions. You also enjoy an active social life and have many leisure-time interests. As a parent, you're your children's number one cheerleader, encouraging them to explore and develop their talents."
5,Scorpio,"You take romance seriously, investing your heart and soul in a relationship. Breakups are difficult, so much so that you can hang on in order to avoid the inevitable. You're sometimes jealous, although it's usually unwarranted. As a parent, you can be demanding and pressure your children to achieve."
5,Taurus,"You want a stable, supportive, and sensual romantic relationship, and when dating, you focus exclusively on your current love interest. Hands-on hobbies are among your favorites, and you also might enjoy cooking and artistic projects. You’re fond of children, although you insist on order and discipline."
5,Virgo,"You’re discriminating in love, choosy about whom you date. It’s great to maintain high standards, but finding someone perfect is impossible. Many people with Virgo here fill their leisure hours with gardening, games, puzzles, needlework, and woodworking, all of which your friends may define as work, not pleasure. But not you!"
6,Aquarius,"You need a high degree of independence in your daily work, the freedom to organize and prioritize tasks.
Rules and procedures are fine if you agree with them; otherwise you make your own. So it's imperative that you establish the level of independence and autonomy you desire before accepting a job."
6,Aries,"You’re a hard worker. You also want to be the boss and can become impatient and move on if promotions are delayed. A fast-paced work environment is a must to keep your interest, and you might prefer physical work to a desk job. Safety precautions are important because Aries here can be accident-prone."
6,Cancer,You need a calm and supportive work environment with congenial coworkers and one that emulates a family atmosphere. But you can be so emotionally tied to your job and colleagues that it can be tough to move on when change would be advantageous. Nervous tension can trigger stomach ailments.
6,Capricorn,"You're an efficient, organized, and ambitious hard worker who expects the same from coworkers and supervisors alike. Work hard, play hard, is your ethic, and you live up to and often exceed your responsibilities before taking well-deserved time off. Your social and business lives are usually separate."
6,Gemini,"You enjoy work where you can use your hands almost as much as your mind, but your short attention span can lead to job hopping. You’re happiest in a fast-paced, active work environment with lots of variety. Some people with Gemini here have two jobs. Nervous tension requires daily stress relief."
6,Leo,"You take pride in your work and are conscientious, doing the job to the best of your ability. Criticism is thus unwelcome and can dent your ego, even if it’s just business and nothing personal. You dislike being in a subordinate position and see yourself as a boss. Education, patience, and experience can fulfill that goal."
6,Libra,"A job in anything but an attractive, congenial, cooperative environment is not for you. Anything else reduces productivity and elevates stress. Working with others is equally important, and you have the people skills to be an excellent manager. Many people with Libra here are fond of dogs as pets."
6,Pisces,"A calm and congenial working environment is a must for job happiness and productivity. In the right job and the right situation, you're easygoing and adaptable and among the most helpful of employees. It's equally important that you have the freedom to use your creative energy; routine work is not for you."
6,Sagittarius,"You're an enthusiastic employee and often the first to take on extra work. In exchange, you expect a reasonable amount of freedom to do your job without supervision. A hovering boss is not for you. You also prefer a spacious work environment and one that offers plenty of opportunities to interact with coworkers."
6,Scorpio,"You're a responsible hard worker who pushes yourself to the extreme because you want to finish what you start. Although you have incredible stamina, overdoing it can result in injury or illness. You take charge of projects and prefer solo work to teamwork in order to maintain control."
6,Taurus,"A hard worker, you’re methodical, thorough, and reliable. You want a steady, slower-paced environment and one that’s comfortable and pleasing to the eye. Routine is your comfort zone, so you resist procedural and other changes, preferring to do things the old way. You may be susceptible to sore throats and sensitive to dust."
6,Virgo,"You have the ultimate work ethic, much to your employer’s delight. Every task is completed with accuracy and attention to detail, and you put in long hours when necessary. In return, you expect to be well paid and have a clean, although not necessarily upscale, working environment. Nervous tension and intestinal upsets are possible."
7,Aquarius,"Friends are near and dear to you, and friendship is the quality you most desire in a partner. Although this Descendant sign increases the odds of multiple committed relationships, that's ultimately up to you.
Spontaneity helps keep the spark alive, as does accepting your mate's need for independence."
7,Aries,"You’re attracted to dynamic people, go-getters with a passion for life. Your desire for a mate, however, can prompt an impulsive union, which may or may not stand the test of time. Some close relationships are prone to conflict, which unsettles you. Nevertheless, voice your opinions and stand up for what you believe."
7,Cancer,"Some people with this influence delay commitment until they feel their careers are well under way, and most seek a partner who is family-oriented. You attract people who freely express their emotions and who share your desire for financial and material security. You also relate well with people in general."
7,Capricorn,"You want a mate who's as security-conscious as you are and one who's ambitious and responsible. Some people with a Cancer Ascendant commit long after their peers or unite with a mate who's older. Your partner is likely to be a true soul mate from whom you can learn a lot, and vice versa."
7,Gemini,"It takes a special person to capture your heart, someone who’s as free-spirited and curious as you are. You may never commit or do so only later in life. Some people with a Gemini Descendant have multiple long-term relationships. People with quick, lively minds attract your interest."
7,Leo,"You’re not in favor of or against commitment. The challenge is in finding the right person who can accept and embrace your independence as a quality to be treasured. Do that, and you’re a loyal, generous mate who attracts the same sort of person. Be prepared, though, to stroke your partner’s ego."
7,Libra,"You seek a true partnership, one that's loyal and 50-50, where you can share equally in each other's successes and disappointments, the little things and the big things. A sense of fairness and justice surrounds all your close relationships, and you appreciate the balance and support they bring to your life."
7,Pisces,"Although outsiders might never suspect it, you're a sensual romantic who responds favorably to charm and attention. But you also can be idealistic about love, seeing what you want to see instead of what's real.
Close personal and business relationships can be prone to deception. Protect yourself."
7,Sagittarius,"You seek independence and optimism in a partner and shun anyone who expresses jealousy or possessiveness. Some people with a Sagittarius Descendant have a series of long-term partnerships, each fading away as their interests change. You excel at communication, although you could be overly talkative."
7,Scorpio,"Love relationships are stormy and intense, loving and passionate, sensual and kind. Romance is a natural state for you, and once committed, you aim for a lifetime of togetherness. Friends and business associates find you warm and supportive, and they value your calming energy and solid support."
7,Taurus,"In love, you’re loyal but also possessive, and your insecurities can trigger unwarranted jealousy. Learn to trust and have faith in your partner. Partnership is very important to you, and when you commit, you intend it to be for a lifetime. You could profit financially from a business or personal relationship."
7,Virgo,"You’re drawn to practical people, and a mate who fits that description could be an excellent match. The right person can help you see the details, as you encourage vision and faith in return. People respond to your charm and humor, and you have a gift for adapting to any situation or group."
8,Aquarius,"You benefit from periodic windfalls, including the possibility of a lucky win or an inheritance from a friend or mentor. Unexpected expenses also pop up, and you or your partner may be extravagant at times.
Long-term investments are a good choice; adjustable rate loans and mortgages probably aren't."
8,Aries,"You’re in charge (or want to be) of family funds, an area that can trigger conflict over debt. Either or both of you can be impulsive spenders, buying on credit. Budgeting is thus as important as shared responsibility and compromise. You also should think long term and emphasize savings, investments, and retirement funds."
8,Cancer,"Joint resources, although subject to fluctuation, are generally favorable if carefully managed. Intuition can be an asset when backed by facts, not emotion. You could gain through a family inheritance, and it’s important to you to ensure the same for your children. Home ownership could be an excellent investment."
8,Capricorn,"You, your professional or personal partner, or both of you are financially cautious and conservative and anywhere from thrifty to miserly on the spending scale. However, a few with Capricorn here stretch debt to the limit. Long-term investments, including possibly real estate, can help you achieve financial security."
8,Gemini,"Family funds fluctuate, as do investments and retirement accounts. Information-based decisions help maintain stability if you take time to gather data. Also make financial organization a priority, and be cautious with credit as debt can mount quickly. You could gain through a relative’s legacy."
8,Leo,"Joint resources benefit from your hands-on involvement, but ego-based decisions regarding debt and investments can undermine your financial goals. Put your pride on hold and consult your partner and reputable experts rather than go it alone. An inheritance could considerably improve your financial position."
8,Libra,"You see family finances as a shared responsibility and are uncomfortable making decisions on your own. Together, you and your partner have good earning potential, but one or both of you could be extravagant at times. You could gain financially through a professional or personal partnership."
8,Pisces,"With careful money management, you can remain debt-free. It's also possible you or your partner could run up debt by viewing credit as ""free"" money. Develop budgeting and savings habits and a policy of mutual decision making. Avoid deals that sound too good to be true; they probably are."
8,Sagittarius,"Money flows in your direction through a partner, inheritance, insurance, or lucky break. But it also can flow in the other direction if credit is mismanaged or your partner is a big spender. Emphasize budgeting, saving, and long-term investments and retirement funds. Windfalls periodically come your way."
8,Scorpio,"Joint resources are generally favorable, and you have wealth potential. But sometimes debt becomes an issue, especially if you, your partner, or both of you are secretive about money matters. Be up-front and share all the information. It's also important to be current on taxes. A family inheritance could be sizable."
8,Taurus,"A business or romantic partnership, investments, and an inheritance are all potentially lucrative sources of financial gain. Except when absolutely necessary or practical, you avoid debt, and you shop for the best bargains and interest rates. You could do well with real estate, antiques, and collectibles."
8,Virgo,"You and/or your partner gather all available information and details as part of the decision-making process for loans, mortgages, insurance, and investments. At times, you worry unnecessarily about money, playing the “what if” game. Think positive and invite the abundance you deserve into your life."
9,Aquarius,"You're curious about the unique and unusual and delve deep into whatever captures your interest.
In formal education, you might do well with distance learning instead of instruction in a traditional classroom. You're intolerant of prejudice and injustice but also believe others are entitled to make their own choices."
9,Aries,"Your spirit of adventure spans the globe, and you’d like to explore every location and culture. Knowledge and information stimulate you, but you can become bored with the slow pace of a college curriculum; accelerated learning thus might be a good choice. In-laws can test your patience. When necessary, you actively seek legal solutions."
9,Cancer,"You’re emotionally tied to your life principles and beliefs, which are based on feelings and family tradition. Vacation travel may be with or to visit relatives, including in-laws, whom you consider to be part of the family. Higher education may be funded by parents or relatives, and you strive to provide the same opportunity for your own children."
9,Capricorn,"You're traditional and possibly even narrow-minded regarding religion and ethics. Although you'd never compromise your principles, listening to other opinions could be surprisingly enlightening. You may travel on business and prefer to spend vacations at home. Higher education is one path to career success."
9,Gemini,"Learning satisfies your curiosity, as does travel. You might be a perpetual student, taking classes for fun, to advance your career, or both. In-law relationships are friendly but not close, and you keep in touch with faraway relatives and friends. Your spiritual and ethical beliefs evolve throughout your life."
9,Leo,"Your ego is closely aligned with your beliefs and educational success, and you might pursue an advanced degree simply to boost your status. Spirituality is viewed from a personal perspective, and your faith ultimately might be solely in yourself. You could excel in a career in the legal field or higher education."
9,Libra,"Fairness and equality are your guiding principles, and you're intolerant of hypocrisy and bigotry, which are foreign to your way of thinking. You're interested in people and what motivates them to act as they do, and also enjoy traveling with your mate or friends. Higher education can increase career earnings."
9,Pisces,"Your life principles are based on an innate, emotionally based faith and spirituality. They may be traditional or your own inspired view. You see the value of higher education, but pursue it only after you've found your true calling. Vacation travel calms and soothes your inner soul."
9,Sagittarius,"You seek not just information but knowledge through higher education and lifelong learning. Highly principled and deeply spiritual, you live your beliefs and may teach them to others. You probably travel at every opportunity (or wish you could) and take mental journeys in between through books and technology."
9,Scorpio,"You strive for depth of understanding in any subject that interests you and thus can be an excellent student who earns advanced degrees. Travel may or may not appeal to you; if it does, you're likely to combine pleasure with learning. Highly principled, you have strong spiritual and ethical beliefs."
9,Taurus,"Higher education can increase your earning potential, and you’re likely to pursue subjects that are practical and useful. Vacation trips are a good tension reliever, although you prefer to travel in comfort or not at all. Your code of ethics and spiritual beliefs are conservative, and your relationships with in-laws are congenial."
9,Virgo,"You relate to concrete, black-and-white principles rather than all the shades of gray, and your spiritual beliefs are down-to-earth. Higher education is valuable to you for its practical use in the work world and only as far as it will further your ambitions. Relations with in-laws range from tolerant to critical."
10,Aquarius,"Your career is prone to the unexpected-both gains and losses, sudden changes, and instant fame.
Networking brings you luck and helps you land on your feet, as do professional groups. Your challenge is to maintain your independence and be a team player. It's doable if you give a little to get a lot."
10,Aries,"You may be the consummate entrepreneur. If that’s not your bent, then you have the incentive, initiative, and persistence to aim for and achieve a top spot. But be cautious and tactful with supervisors, who might feel you’re after their jobs . . . which you are! Impatience and slow advancement can trigger a job search."
10,Cancer,"A glowing reputation is important to you, and you have a strong emotional investment in your career life. You may be involved in a family business or work with the public or out of your home. But your career ebbs and flows, with many changes over the years. Listen to your sixth sense."
10,Capricorn,"You're among the most ambitious people out there, with your sights set on a top position where you can be in charge. A slow, steady climb brings success, and you have the patience and determination to outlast and exceed the competition. Some people with a Capricorn Midheaven excel in the corporate world."
10,Gemini,"Your ideal career is one that features communication and includes varied responsibilities. As an excellent multitasker, you easily juggle many projects and prefer it that way to stave off boredom. Career matters fluctuate. You might pursue two careers simultaneously—a day job and a freelance one."
10,Leo,"You crave a star-studded life, complete with an important position, recognition, and respect. Determination is strong, so you can achieve what you set out to do career-wise. But a big ego can trigger setbacks, as can slipping into a dictatorial role. Encourage and support others; share the credit."
10,Libra,"You're well liked by many and popular in social and business circles. Your career may involve working closely with other people or the public, and you strive for high earnings and recognition. Networking-whom you know, not necessarily what you know-is an important success factor."
10,Pisces,"You have the magical, mystical charm shared by many movie stars. This can take you a long way in the work world when combined with creativity and hard work. But it may take you a while to find your career focus, your passion. Explore— within reason —until you find your perfect niche. Aim for public acclaim."
10,Sagittarius,"Whether by vocation or avocation, learning and teaching are linked to your career success. Higher education will help you develop your full potential, as will sharing your knowledge with others. You're luckier than most in career matters, where you benefit from abundant opportunities to learn and grow."
10,Scorpio,"There are no in-betweens concerning your career. You strive for a power position and can achieve it if your intentions are honorable. Manipulation and shortcuts, however, can wipe out potential gains. At various times you'll initiate major career changes or have them thrust upon you because of uncontrollable events."
10,Taurus,"Once you find your niche, you’re likely to stick with a career path and preferably the same company, advancing through the ranks. Money is a strong motivation and probably the only reason you consider changing jobs. Even then, you hesitate to move on, preferring your established routine and what’s familiar."
10,Virgo,"You’re work- and task-oriented and believe your work should speak for itself. You also strive for perfection and expect the same from others. That’s unrealistic, which you learn with time and experience. A career that emphasizes communication, planning, and organization, possibly in a service industry, may be ideal for you."
11,Aquarius,"You make friends with ease, each unique in some way. ""Normal"" people don't interest you. Your friends come from all walks of life. Most people with Aquarius here are involved in and are also leaders in clubs or organizations, both charitable and professional. You're an excellent networker."
11,Aries,"Your active social life includes many opportunities to meet new people, whom you quickly welcome into your circle. In any group activity, you quickly take the lead and, if you’re involved in an organization, are the first to initiate new endeavors. This influence also can prompt conflict with friends and groups."
11,Cancer,"You enjoy entertaining friends at home, the closest of whom are like family. If you’re involved in groups or organizations, you’re emotionally connected to them and choose those that foster close relationships. Goals are changeable, subjective, and linked to your feelings and family influences."
11,Capricorn,"Your friends represent almost every age group— older, younger, and peer. Close friendships with a few can last a lifetime, and you have many business acquaintances. If you're involved in an organization, it's likely to be professional in nature or one through which you can advance your career ambitions."
11,Gemini,"You’re popular with a wide variety of people and easily make new friends, who come and go, in and out of your life. Your fondest friendships are with lively, witty people who complement your playful spirit and enjoy weekend getaways. Personal goals fluctuate, changing with your current interests."
11,Leo,"You’re popular, with a wide circle of friends and many acquaintances, and invest much time and effort in maintaining these contacts. Organizations that offer leadership and recognition opportunities appeal to you. But if participation is ego-centered, you could lose supporters and credibility."
11,Libra,"You're popular and have a wide circle of friends and acquaintances and an active social life, possibly from your involvement in cultural organizations or the arts. Above all, though, you want your partner to be your best friend. Goals and objectives are influenced by those closest to you, and their needs and desires."
11,Pisces,"You're compassionate, caring, and sympathetic to your friends and lend a hand whenever possible. This is a wonderful quality when shared with true friends, but some only appear that way and expect far more than they give. Advice from friends could be well-intentioned but misleading or even deceptive."
11,Sagittarius,"You're an outstanding and popular friend, with an ever-expanding circle of people to fill your weekend hours with an active social life. You're probably also drawn to group activities and organizations, where you can be a leader and inspire others. Goals focus on the big picture, and you usually achieve them."
11,Scorpio,"You're content with a few close friendships, people with whom you develop long-term ties based on trust. They may think they know you well, but you hold back in some way, never telling all. Friends are likely to be influential or powerful people who can help advance your status. You commit fully or not at all to goals."
11,Taurus,"You attract wealthy and influential friends, many of whom are for a lifetime. Membership in an investment club can be profitable and link you with other moneymaking opportunities, as can friends and organizations. You’re goal-oriented, and once committed, you rarely waver from your objectives."
11,Virgo,"You’re content with a few close friends (some may be coworkers) rather than being part of the wider social scene, and are quick to lend a hand when needed. If you’re involved in an organization, it’s probably as a volunteer for a good cause. You track goals—daily, weekly, monthly, and long-term—through list making."
12,Aquarius,"You rely on friends for emotional support, but when this becomes one-way, even those closest to you can tire of the sympathetic role. But you're also loyal and go out of your way to help friends as well as those in need. Dreams offer insight into your subconscious needs and desires, as does your intuition."
12,Aries,"You have the internal motivation to launch new personal endeavors. But initiating them can be a challenge because you prefer established routines and dislike change. Once you jump that hurdle, however, what’s new becomes the norm, and you embrace it with relentless determination and usually succeed."
12,Cancer,"You hesitate to freely express your deepest emotions until you feel totally secure in a relationship. Few people know this, however, because you’re outwardly confident and upbeat. This may be the result of your family environment or conditioning or self-talk. Your sixth sense often yields hunches."
12,Capricorn,"If your career ambitions include high visibility, you may experience frustration. With Capricorn here, your strongest position is behind the scenes, either in a supporting role or in an institutional career. You're also dependable, with a strong inner drive to do the right and responsible thing."
12,Gemini,"You collect gossip and secrets. You also maintain confidences, which is why people freely share information with you. However, you may not— but should—do the same with personal information and feelings, which less-honorable people might use to their advantage. Put in writing only what you want others to read."
12,Leo,"Personal recognition may be on a private rather than public level, which you prefer because you're more comfortable out of the limelight. This position also strengthens your position behind the scenes, where your personal power is at its most influential. People sense your inner strength and look to you for support but rarely return the favor. Self-reliance is part of your life mission."
12,Libra,"Although most people describe you as intensely self-reliant, which you are, you have a softer inner self that gains strength from a partner. Time together in a romantic location recenters you. Some people with Libra here are heavily in debt because of their expensive tastes, and others have secret affairs."
