id,planet,sign,interpretation_long,interpretation_short,keywords,
58,Mars,Capricorn,"Materialistically motivated and ambitious, you direct considerable energy into career achievement. Status, financial security, and power are your goals, and you have the incentive and determination to realize all three, step by step. Cautious and conservative, you take calculated risks to strengthen and advance your position. You’re an ambitious hard worker who’s also practical, disciplined, and responsible. Rules hold meaning for you, and you’ll bend rather than break them to achieve your goals. Mars in Capricorn is excellent for business endeavors, the corporate world, and entrepreneurship, although persistence can net success in any career field. You excel as both employee and employer, but will strive for the top spot.",,,
51,Mars,Gemini,"You have a quick, agile mind that grasps information in a flash. High energy is an asset, but boredom and restlessness can result in scattered interests and a lack of focus. Turn it to advantage by multitasking on a select few projects at a time to boost your interest level. Versatility keeps your thinking one step ahead, but it’s also important to listen more than you talk. Always on the go, at least mentally, you can be an excellent communicator who enjoys initiating change just to keep things interesting. But you should guard against a tendency to become argumentative. Most people with Mars in Gemini enjoy challenging games and puzzles and working with their hands.",,,
53,Mars,Leo,"Feelings are your main motivator, and much of what you do has an emotional undertone. You thus can get so wrapped up in a project, idea, or relationship that it’s tough to keep your objectivity. That results in frustration when things don’t go according to plan. Try to distance yourself a little and aim for periodic reality checks to be sure your perspective is on target. Then you can make the most of your persistence to finish what you start. Family relationships are influential in your life, although there could be conflict and difficulties with parents. If you’re handy, Mars in Cancer can be an asset for do-it-yourself home improvements if you take safety precautions when working with tools or in the kitchen. But be aware of a tendency to push others to meet your own ends. Choose instead to let your natural leadership ability shine through. Take charge in your innate grand style and be a motivational team player who’s considerate of others. That’s the way to grab your share of the limelight. You’re generous with your money, time, and talents, especially with loved ones. You may or may not define yourself as creative, but you are in some way— with ideas, art, acting, speaking, or a weekend hobby.",,,
55,Mars,Libra,"An active social life is important to you, but even more so is the desire to be with and work with other people. Cooperative efforts please you, while conflict is difficult and to be avoided, in your opinion. Your desire for harmony, however, can stop you from airing dislikes that merit discussion. You also appear indecisive at times because of your tendency to weigh the pros and cons before taking action. A common statement is, “I’ll have to think about that.” Physical activity isn’t your favorite, and lazy periods are likely. But mentally stimulating activities excite you, as does debate, even in a casual, informal setting. Though you’re generally easygoing, your anger flares at the first sign of injustice.",,,
60,Mars,Pisces,"You are compassionate and direct much of your energy into helping others, individually or collectively, through good causes. Creativity and imagination are strengths, but it can be difficult for you to stay focused and follow through on your intentions. Disorganization disrupts your energy flow, which is enhanced by visual and aural stimulation—or even total quiet and solitude. You may have artistic or musical talent. You have far more inner strength than you give yourself credit for. This inner strength is based on a spiritual connection with the universe that promotes self-motivation and insight along with intuition. Follow your heart—with an emphasis on what’s realistic. A straightforward approach gets you further than a subtle one, as does learning how to deal with confrontation.",,,
57,Mars,Sagittarius,"You’re ethical and highly principled, with strong beliefs about life, people, and the human condition. Together, they guide your every action, and you won’t bend or lower your standards in any way, no matter the consequences. While admirable, that attitude is idealistic but not always realistic. Yet you’re a risk taker and a lucky one, so events and situations generally evolve in your favor. Versatile and easygoing about most things, you’re a leader who’s adventuresome, daring, and courageous. You enjoy physical and mental challenges and can be highly competitive. You’re also a terrific idea person, but follow-through is tough; you’re a starter, not a finisher. Enthusiastic optimism is your hallmark.",,,
56,Mars,Scorpio,"You’re relentless. Like a bulldozer, you plow through obstacles, letting nothing stand in your way. Yet this strong drive can at times turn to stubbornness, when the wisest choice might be to cut your losses and move on. That’s tough for you because you seldom know when to stop. But you will make an exception for something new—a project or idea—that stirs your passions even more deeply. Your physical energy is equally strong, and you can drive yourself to exhaustion without realizing it. Anyone who underestimates your strength of will sooner or later learns you’re a formidable adversary. However, grudges, vengeance, and jealousy are ultimately nonproductive. Use your powerful energy instead to achieve your goals.",,,
50,Mars,Taurus,"Your determination is unparalleled, and perseverance and patience are your strengths. The thought of giving up rarely enters your mind. Slow but steady is your approach, along with a thoughtful, methodical, and thorough mindset that results in quality output, whatever your endeavor. But you also can be extremely stubborn and refuse to budge once you’ve formed an opinion. That can undermine all your hard work because others prefer those who are easygoing and cooperative. The same applies to habits and routines. Just because you’ve always done things a certain way doesn’t mean you always should. Step out of your rut. Change is good for the soul.",,,
54,Mars,Virgo,"You are, above all, precise and efficient, something of a perfectionist who believes anything worth doing is worth doing well. You’re a hard worker, and your strength is in the details. But that can become a disadvantage if you lose sight of the big picture. Both are necessary ingredients for success. You systematically plan and organize before taking action and thus can simultaneously manage several major projects. Some people with Mars in Virgo are restless and high-strung. If you’re among them, set aside time each day (even if only thirty minutes) to relax and unwind. You also may have exceptional mechanical ability.",,,
35,Mercury,Aquarius,"Natives have beautiful, inventive minds, with qualities of creative genius. They are broad thinkers who remain objective, and enjoy discussing fascinating topics like quantum physics, the nature of reality, or the future of humanity. They think outside the box, easily coming up with inventions and ",,,
25,Mercury,Aries,"Mercury communicates quickly and thoughtlessly. Quicksilver agreement that hurries agendas along and bypasses alternatives can open doors to amazing possibilities. This is a good way to get things started - but it can leave ends untied. With Mercury in Aries, plans can be too individualistic and undisciplined to stand up on their own. Also, Mercury here can lead us to speak or make decisions without thinking, which can potentially upset the apple cart.","Assertive and forceful, with a direct style of communication","innocence, initiation, self-promotion",
28,Mercury,Cancer,"Natives are gentle, intuitive speakers. They can be wonderfully adept at communicating with the public, able to feel out an audience and adapt their speech ot the energy of the room. Thoughtful and sensitive souls, their words are saturated with feeling. Learning subjectively, they respond more to personal stories than to cold hard facts. ","Adept at communication, able to adapt to an audience","gentle, intuitive, communicators",
34,Mercury,Capricorn,"Natives have methodical, rational, and steady minds. They accomplish tasks with ambition and patience. Sometimes serious-minded, they can go too far with compartmentalization and creating order. Possessing a slower approach toward mental tasks and learning, they need to take their time to break down information into smaller, more workable pieces.","Methodical, rational, and steady minds","methodical, rational, serious-minded",
27,Mercury,Gemini,"Natives are quick-witted, curious and intellectual. They are excellent communicators, writers, and teachers, and tend to be good at school. With varied interests, they seem to know a little about everything. They only have to take care to delve more deeply into subject matter. They are best in stimulating environments. ","Quick-witted, curious, and intellectual","communicators, logical",
29,Mercury,Leo,"Natives are persuasive, dramatic, and authoritative speakers who posses a performative flair when conveying their thoughts. Their style of speech is convincing yet warm, and they tend to be infectiously idealistic and sure of their beliefs. They are typically drawn to creative subjects, and yearn to express themselves in artistic ways.","Persuasive, dramatic, and authoritaritative speakers with a performative flair","persuasive, dramatic, ambitious",
31,Mercury,Libra,"Natives have wonderful minds, which are both intellectual and poetic. They long for equilibrium, both in the world and in their immediate surroundings. Because of this, they tend to study subjects related either to justice or the arts. A halo of beauty surrounds their words, and they possess a knack for writing, as well as charming and melodic patterns of speech. Social and friendly, they work well in partnerships, sometimes needing another person to take the lead on projects.",,"social, friendly, intellectual",
36,Mercury,Pisces,"natives are dreamy and abstract, expressing themselves in gentle and otherworldly manners. They often miss the pragmatic details, focusing instead on the intangible realm of moods, energies and feelings. Their speech is soft and compassionate, and they are excellent listeners. With an aversion to cold facts, they prefer nuance and to read between the lines. There is much wisdom to glean from their approach, and they only have to work toward becoming more practical",,,
33,Mercury,Sagittarius,"Natives have minds that orient toward truth seeking. They can be inspiring speakers and teachers who carry others into their expansive mind-streams. They possess an infectious desire to learn, and will push the boundaries of comfort, both other people's and their own. ",BIg minds that orient toward truth seeking,"desire to learn, blunt, enthusiastic",
32,Mercury,Scorpio,"Natives have deep and probing minds. They often enjoy intmiate conversations where they discuss intangibles, including feelings, the occult, and theoretical science. They love to investigate and possess an incredible ability to observe every detail. Longing to reach the heart of any matter, they will dive into ideas and exchanges with probing minds, carrying others into their depths.",,,
26,Mercury,Taurus,"They are methodical thinkers, taking their time to make decisions. Once they do, they are decisive and stubborn. While they can be slow to initiate projects, when they commit, they are dependable and thorough. They have the gift of common sense, able to think pragmatically within the realm of tangibles. They speak slowly and with purpose. Straightforward, no-nonsense, and authoritative, people tend to take these natives seriously.","Methodical thinkers, taking their time to make decisions.","decisive, stubborn, kinesthetic learners",
30,Mercury,Virgo,"Natives are excellent analyzers, researchers and writers. They often thrive in school, unafriad of tedious mental work. Endowed with impeccable logic, they have clear, sharp, and organized minds. Detail-oriented and practical, they seldom use superfluous language, preferring to be economical and precise with their words.","Excellent analyzers, researchers, and writers. ","logical, clear, sharp, detail-oriented",
107,Neptune,Aquarius,"Groups and organizations are influential in your life, and you may become involved in a humanitarian effort. Your intuition is strong and sparks innovative ideas that make you an invaluable team player. Friendship is important to you. Technology will bring advancements in science, medicine, and health care. This is also a favorable influence for new technology to benefit the environment, energy, and the sea.",,,
97,Neptune,Aries,"You act on your spiritual beliefs, using them as a foundation for daily life and decision making as well as your overall life direction. You also inspire others to follow your lead and, by example, to express their creativity and compassion, both of which you have in abundance. Neptune in Aries reflects an interest in exploring the world’s oceans, as well as initiatives to protect the environment and water supply and to develop new sources of energy. Psychic ability may be scientifically proven during this period.",,,
100,Neptune,Cancer,"Your home is your comfort zone, where you retreat to recenter, relax, and unwind. You also have a strong sixth sense. In the wider world, you have an instinct for public opinion and emerging trends that can increase financial security and career gains. The traditional family unit will be affected by Neptune in Cancer. Families will dissolve, possibly because of a war (as during World War I, when many were killed) or a pandemic or epidemic.",,,
106,Neptune,Capricorn,"You value and appreciate tradition but also see the wisdom in flexibility to adapt to modern times. However, change for purely idealistic reasons can result in disillusionment. Use your practical side to discover your more spiritual inner voice. This influence generates awareness of environmental and energy concerns. The practices of big business will be challenged, although they are unlikely to undergo any significant changes.",,,
99,Neptune,Gemini,"You may be a talented speaker or writer, which are excellent outlets for your imaginative ideas. Follow-through is your challenge, however, so train yourself to focus on one major project or interest before delving into the next. Scattered energy brings only scattered results. There will be much questioning of learning concepts during Neptune’s transit of Gemini, which also will bring further development in energy sources, primarily for vehicles.",,,
101,Neptune,Leo,"You may become a leader for a good cause, in part to fulfill your spiritual needs. Charisma and inspiration help you touch people’s lives, one-on-one or on a wider scale, but you should guard against self-deception. Perceptions are not always accurate. With Neptune in Leo, new methods of entertainment will emerge, and the film industry will undergo major changes. Powerful people will be exposed for unethical behavior.",,,
103,Neptune,Libra,"You have an idealistic view of people and close relationships, especially romantic ones. Spiritual ties are strong with those you love, and on a wider scale you have a sense of social responsibility and sympathy for those in need. You’re more inclined to help others one-on-one than to be involved in group activities for good causes. This is a generation that will experience many changes in close relationships, including marriage and all forms of partnership. People born in the 1940s and 1950s when Neptune was in Libra were the “flower children” of the 1960s.",,,
108,Neptune,Pisces,"You have a strong visual orientation, which, when combined with your creativity, can yield amazing results. Music may free your inner voice. You also sense subtle signals from people, and may have healing or artistic talent that can in some way benefit humankind. Interest in spirituality will increase during this period, and some religious institutions will be exposed for their unethical practices. This also will bring an increased interest in the environment, alternative fuels, and alternative medicine.",,,
105,Neptune,Sagittarius,"Your quest for knowledge extends to a search for the meaning of life on a deeper, spiritual level. Faith is strong, and you may feel that your life is guided or directed. Other cultures intrigue you, and travel may widen your horizons as much as formal learning. Spiritual truth and the search for the meaning of religion are associated with Neptune in Sagittarius. There may be scandals involving higher education, religion, and health care.",,,
104,Neptune,Scorpio,"Deep emotions and faith inspire you to achieve, and once committed, you do whatever it takes to reach your goal. You have an instinctive understanding of the life cycle, and your sixth sense is sensitive to subtle vibrations from people and places. Drug abuse is associated with this generational influence, as well as the development of life-giving and life-prolonging drugs. Money and ethics will clash during this period, which will see the downfall of some powerful people.",,,
98,Neptune,Taurus,"You’re practical in money matters yet also creative, with a sixth sense about financial trends. You understand the principle of letting money circulate into the outer world and back to you, and may donate to worthy causes. Creative or humanitarian endeavors may be income sources. With Neptune in Taurus, environmental and energy concerns may yield high financial returns, and this period will bring sizable gains for charitable organizations.",,,
102,Neptune,Virgo,"Although you may lack confidence in your abilities, you have a practical imagination that can create inspired ideas, and may have a talent for creative writing. Let your creative energy flow, and disregard the inconsequential details, which can block the concrete results you’re trying to achieve. With Neptune in Virgo, alternative medicine will become more widely accepted and new theories in treatment developed. Widespread unemployment is possible.",,,
119,Pluto,Aquarius,"You can have a profound impact on people through your efforts for humanitarian and charitable causes. You also may become involved in a group or organization where, as a leader, you can initiate positive change. Pluto in Aquarius (2023–2043) will bring major technological advances, increased space exploration, and an emphasis on global humanitarian efforts.",,,
109,Pluto,Aries,"Your pioneering spirit is unparalleled. Whatever is fresh and new attracts you, and you have the courage to initiate change and to explore new ideas and approaches to firmly established traditions. Pluto was last in Aries during the nineteenth century (1823–1852). This was a period of westward expansion in the United States, when people explored new frontiers.",,,
112,Pluto,Cancer,"Emotions run deep, and family ties have a profound impact on your life—positive, negative, or both. Living arrangements and property ownership may undergo significant changes as a result of societal trends. The Great Depression occurred during Pluto’s last transit of Cancer (1912–1938), as did World War I, both of which disrupted families worldwide.",,,
118,Pluto,Capricorn,"Business and government are likely to undergo major changes during your lifetime. While these will be on a global scale, they also will affect your personal and professional lives. Plan ahead. Protect your resources and career interests. During Pluto’s transit of Capricorn (2008– 2024), there will be increasing demand for reforms in big business, corporations, and government, and long-established structures will be altered. The U.S. Declaration of Independence was signed and the United States founded when Pluto was last in Capricorn (1762–1778).",,,
111,Pluto,Gemini,"Your inventive mind can find a better way to do many things. Big ideas require follow-through, however. Communication and technological innovations strongly influence your life and lifestyle. Transportation underwent significant changes when Pluto was last in Gemini (1884– 1913). The Wright brothers were pioneers in flight, Henry Ford produced the first affordable car, and the telephone emerged.",,,
113,Pluto,Leo,"You, like your peers, represent the power of one as a force for change. Although you use this energy to affect the world around you, its primary influence is motivation for personal transformation and self-understanding. World War II occurred during Pluto’s last transit of Leo (1937–1957), along with the development of atomic power. People born during this time are part of the “me” generation, the baby boomers.",,,
115,Pluto,Libra,"You’re concerned with issues of personal and global justice. These beliefs also influence your view of relationships, which you believe should be mutually supportive at all times. You strive for 100 percent shared experiences in a partnership and work toward that idealistic end. Pluto in Libra (1971–1984) featured changes in divorce laws and procedures and advances in women’s rights, but the Equal Rights Amendment was defeated. The Vietnam War sparked a demand for peace, love, and harmony.",,,
120,Pluto,Pisces,"Deeply compassionate, you have the power to change lives one by one or by the thousands. Whatever venue you choose, even on a casual, informal level you have the ability to reach out and inspire others. During Pluto’s transit of Pisces (2043–2067), environmental concerns will require major changes throughout the world, and there could be revolutionary medical advances.",,,
117,Pluto,Sagittarius,"Values and ethics are prevailing themes in your life, and you’re periodically faced with challenges that require values-based choices and decisions. Each is a test of your principles within the wider context of societal trends. Spirituality also is a life theme in your search for life’s answers. During the years with Pluto in Sagittarius (1995–2008), the Roman Catholic Church was faced with scandals and lawsuits involving pedophile priests, fundamentalist Christians became an influential political force, and there were religion-based terrorist acts.",,,
116,Pluto,Scorpio,"You’re concerned with issues of personal and global justice. These beliefs also influence your view of relationships, which you believe should be mutually supportive at all times. You strive for 100 percent shared experiences in a partnership and work toward that idealistic end. Pluto in Libra (1971–1984) featured changes in divorce laws and procedures and advances in women’s rights, but the Equal Rights Amendment was defeated. The Vietnam War sparked a demand for peace, love, and harmony.",,,
110,Pluto,Taurus,"You have a strong desire for material and financial security, both of which you can achieve, item by item, dollar by dollar. Be cautious, though, about whom you trust in money matters. Let common sense prevail. The most significant American event that occurred during Pluto’s last transit of Taurus (1852–1884) was the Civil War, triggered by economic issues.",,,
114,Pluto,Virgo,"Existing norms of employment, health care, and service will change during your lifetime. You thus can experience a periodic restructuring of your work environment and the availability of medical alternatives. Helping others leads to personal evolution. During Pluto’s last transit of Virgo (1957– 1971), there were significant advances in agriculture, food production, and medicine. The first commercial transistor radio and calculator became available.",,,
83,Saturn,Aquarius,"Your ideas are a unique combination of tradition and innovation. They’re also practical and enhanced by your objective, impartial viewpoint. You approach problems and decisions intellectually rather than emotionally. Projects, tasks, and goals benefit from your determination and drive, as well as your aptitude for team work and networking and your ability to see things through to conclusion. But tunnel vision can accompany stubbornness; counter it by seeking other opinions. You take friendship seriously and are congenial, if somewhat aloof, with your many acquaintances.",,,
73,Saturn,Aries,"Saturn in Aries signifies opposing energies. Saturn represents caution, patience, and discipline, while Mars represents impulsiveness, action, and independence. Your challenge is thus to mix these diverse factors into a single unified one that can lead to personal and career success. This influence can be excellent for entrepreneurial ventures, and it also lends initiative in other career endeavors. Strive for self-discipline and a steady flow of assertiveness rather than aggression or inhibition. You also benefit from working within the existing structure and company and societal rules to effect positive change.",,,
76,Saturn,Cancer,"You have a deep-seated need for emotional and financial security, and devote much time and effort to creating a comfortable home and family environment. You’re very loyal to those you love. For some people with Saturn in Cancer, this need is the result of heavy responsibilities or a highly structured or demanding home life in childhood. You can excel at making and managing money once you gain experience and knowledge—some of which is learned the hard way. But it also may be a challenge to get beyond “austerity thinking.” At times, you’re ultra-cautious, and at others, you display great initiative and tenacity. Real estate could be an excellent investment.",,,
82,Saturn,Capricorn,"You’re among the most ambitious people on the planet and have the self-discipline and determination to achieve every goal, along with status and recognition. A hard worker with leadership ability, you want to be in charge. But the drive to succeed can take its toll on your family and personal lives, both of which may be designed to further your ambitions. You’re practical and conservative and use a logical approach in planning and problem solving. Rules are important to you, as is a structured environment. Shortcuts can bring setbacks, but you quickly regroup and move forward once again.",,,
75,Saturn,Gemini,"You’re a logical thinker who excels at problem solving and finding practical solutions. You’re highly observant, and your quick mind grasps the facts, thinks things through, and briefly sums up conclusions. You also excel at planning and organization, which are natural outlets for your realistic mindset. Many people with Saturn in Gemini enjoy working with their hands in their careers or leisure-time pursuits and are intrigued by mentally challenging puzzles and games. The communications field, including writing, is another area that attracts the interest of some.",,,
77,Saturn,Leo,"You have a strong need for attention and recognition, and you’re truly confident only when you feel important and appreciated—and in charge. You also can underestimate your skills and talents at times. Believe in yourself and your strong willpower and determination. Tap into this ambitious energy, rise to the occasion, and maximize your practical creativity and leadership ability. Very loyal to those you love, you also expect only the best from your children and push them to succeed. Long-term investments can secure your future. Be cautious of risk taking just to satisfy your ego and desire for status.",,,
79,Saturn,Libra,"Loyalty, devotion to duty, and a strong sense of justice are a few of your strengths, along with tact and kindness. You believe in fairness and impartiality and thus can be an outstanding mediator in both personal and business situations. At times, however, you can be impatient and intolerant, and you’re rarely swayed by sympathy and emotions. You enjoy helping others help themselves rather than doing things for them. Many people with Saturn in Libra form romantic partnerships later in life or with someone who is older or distinguished in his or her career.",,,
84,Saturn,Pisces,"You’re understanding and sympathetic, with a big heart that goes out to others. A certain sense of responsibility for humankind encourages you to help others whenever and however you can, but it’s wise to remember that not everyone is deserving of your care and concern. You know how to skirt obstacles and problems and prefer to do that, rather than confront adversity. That’s the outward expression of your reserved, and possibly shy, nature. Avoiding reality, however, is not always in your best interests. An inspired imagination enhances your creativity. Directing it into concrete endeavors helps you air your inner voice through artistic outlets such as photography and music, either as a career or hobby.",,,
81,Saturn,Sagittarius,"You want to be known for your knowledge and expertise, and consider it your duty to share both with others. Whether teacher, mentor, or friend, you can have a positive impact on many. Some people with Saturn in Sagittarius, however, develop a know-it-all attitude that negates this potential. Honest, ethical, and principled, you have high standards from which you refuse to waver. In business, you have a knack for spotting trends, and leadership ability plus an eye for opportunities and calculated risks can take you far. You strive to achieve a responsible, honest, conscientious reputation.",,,
80,Saturn,Scorpio,"Intense ambition coupled with a strong desire for a powerful position give you the drive to succeed. Your relentless staying power helps you outlast and rise above the competition, but less than ethical actions to get ahead are likely to backfire. Determination alone is usually enough to help you achieve your goals, including financial security and even wealth. Physical stamina is also an asset, but you can push yourself to the point of exhaustion. A private person, you share little about your personal and career plans and are ever alert for information that can aid your shrewd planning and moves.",,,
74,Saturn,Taurus,"You’re patient and practical and have all the determination and common sense to build sizable assets. Follow-through is a strength; a goal, once identified, is pursued until it’s achieved. You’re a hard worker, and career and compensation advance through the years as your ambitions accelerate. Your money motivation stems from a desire for security and comfort, and you willingly spend to acquire what you want—but only if it’s a good value for your dollars. You’re frugal and thrifty in money matters. But your slow and steady approach, which is an asset in many areas, can also cause you to miss out on opportunities.",,,
78,Saturn,Virgo,"Painstakingly thorough, you have practical wisdom and an orderly, analytical mind that excels at planning and organization. No detail escapes your attention, and you’re a hard worker who strives for accuracy and efficiency. Routine is your comfort zone, although you can be adaptable when necessary. Even more demanding of yourself than you are of others, you can be perceived as bossy, with excessively high standards. You also have a strong belief in rules and structure, and are amazingly patient.",,,
95,Uranus,Aquarius,"An independent soul, you’re unconventional in some way (lifestyle, career, interests) and at times unpredictable. Humanitarian causes draw you, and you may be involved in groups that promote change. Imagination and intuition spark innovative ideas and solutions, for which you’re noted. This period brings many technological advances, including those that change methods of communication to bring more people together in an impersonal way.",,,
85,Uranus,Aries,"You’re a risk taker who has the initiative and desire to pursue all that is new and different. Independence and confidence encourage you to promote change, and your quick mind is inventive but also impulsive. You may have entrepreneurial talent. In the world at large, Uranus in Aries reflects a period of technological advancement, as well as new and influential or revitalized groups that promote individual rights.",,,
88,Uranus,Cancer,"Intuition helps you spot public trends, and on a personal level you sense what people think and feel. That gives you an advantage in many situations that require excellent people skills. Emotions can be erratic and unpredictable, however, and family or home life may be unusual in some way. The concepts of home and family undergo significant changes during the period when Uranus is in Cancer as people explore and redefine the family unit and living environment. There may be a noticeable rise or fall in the birth rate.",,,
94,Uranus,Capricorn,"Ambitious and well aware of how to use patience and practicality to achieve your goals, you work within the existing career structure to promote change that’s based in tradition yet forward-thinking. You excel at finding logical and innovative solutions, and may be a leader in business. Major changes in big business and government accompany the period with Uranus in Capricorn, possibly because of action on the part of groups or organizations that demand reform.",,,
87,Uranus,Gemini,"Your quick, clever mind generates original thoughts and ideas, but follow-through can be a challenge. Your many interests, which some call scattered energy, net you a wealth of information—and trivia. Put all that data to work for you in your career or a moneymaking hobby. The period with Uranus in Gemini brings changes in communication, as old forms disappear to be replaced by the new. Learning theories and concepts undergo change, and there are technological advances in vehicles.",,,
89,Uranus,Leo,"Willpower and creativity are strengths you use to elevate your position in life, as is your unusual leadership style that nevertheless gets results. You follow your own star and set your own rules whenever possible, and welcome change when it’s your idea. In the world, Uranus in Leo reflects changes in matters concerning children, as well as groups and organizations. Individuals are challenged to put their egos aside to join forces for the good of all.",,,
