id,planet,house,interpretation_text
96,Uranus,12,Uranus in House 12: [Add your interpretation here]
37,Venus,1,Venus in House 1: [Add your interpretation here]
38,Venus,2,Venus in House 2: [Add your interpretation here]
39,Venus,3,Venus in House 3: [Add your interpretation here]
40,Venus,4,Venus in House 4: [Add your interpretation here]
41,Venus,5,Venus in House 5: [Add your interpretation here]
42,Venus,6,Venus in House 6: [Add your interpretation here]
43,Venus,7,Venus in House 7: [Add your interpretation here]
44,Venus,8,Venus in House 8: [Add your interpretation here]
45,Venus,9,Venus in House 9: [Add your interpretation here]
46,Venus,10,Venus in House 10: [Add your interpretation here]
47,Venus,11,Venus in House 11: [Add your interpretation here]
48,Venus,12,Venus in House 12: [Add your interpretation here]
