id,planet,sign,interpretation_text
97,Neptune,Aries,Neptune in Aries: [Add your interpretation here]
100,Neptune,Cancer,Neptune in Cancer: [Add your interpretation here]
106,Neptune,Capricorn,Neptune in Capricorn: [Add your interpretation here]
99,Neptune,Gemini,Neptune in Gemini: [Add your interpretation here]
101,Neptune,Leo,Neptune in Leo: [Add your interpretation here]
103,Neptune,Libra,Neptune in Libra: [Add your interpretation here]
108,Neptune,Pisces,Neptune in Pisces: [Add your interpretation here]
105,Neptune,Sagittarius,Neptune in Sagittarius: [Add your interpretation here]
104,Neptune,Scorpio,Neptune in Scorpio: [Add your interpretation here]
98,Neptune,Taurus,Neptune in Taurus: [Add your interpretation here]
102,Neptune,Virgo,Neptune in Virgo: [Add your interpretation here]
119,Pluto,Aquarius,Pluto in Aquarius: [Add your interpretation here]
109,Pluto,Aries,Pluto in Aries: [Add your interpretation here]
112,Pluto,Cancer,Pluto in Cancer: [Add your interpretation here]
118,Pluto,Capricorn,Pluto in Capricorn: [Add your interpretation here]
111,Pluto,Gemini,Pluto in Gemini: [Add your interpretation here]
113,Pluto,Leo,Pluto in Leo: [Add your interpretation here]
115,Pluto,Libra,Pluto in Libra: [Add your interpretation here]
120,Pluto,Pisces,Pluto in Pisces: [Add your interpretation here]
117,Pluto,Sagittarius,Pluto in Sagittarius: [Add your interpretation here]
116,Pluto,Scorpio,Pluto in Scorpio: [Add your interpretation here]
110,Pluto,Taurus,Pluto in Taurus: [Add your interpretation here]
114,Pluto,Virgo,Pluto in Virgo: [Add your interpretation here]
83,Saturn,Aquarius,Saturn in Aquarius: [Add your interpretation here]
73,Saturn,Aries,Saturn in Aries: [Add your interpretation here]
76,Saturn,Cancer,Saturn in Cancer: [Add your interpretation here]
82,Saturn,Capricorn,Saturn in Capricorn: [Add your interpretation here]
75,Saturn,Gemini,Saturn in Gemini: [Add your interpretation here]
77,Saturn,Leo,Saturn in Leo: [Add your interpretation here]
79,Saturn,Libra,Saturn in Libra: [Add your interpretation here]
84,Saturn,Pisces,Saturn in Pisces: [Add your interpretation here]
81,Saturn,Sagittarius,Saturn in Sagittarius: [Add your interpretation here]
80,Saturn,Scorpio,Saturn in Scorpio: [Add your interpretation here]
74,Saturn,Taurus,Saturn in Taurus: [Add your interpretation here]
78,Saturn,Virgo,Saturn in Virgo: [Add your interpretation here]
11,Sun,Aquarius,Sun in Aquarius: [Add your interpretation here]
1,Sun,Aries,Sun in Aries: [Add your interpretation here]
4,Sun,Cancer,Sun in Cancer: [Add your interpretation here]
10,Sun,Capricorn,Sun in Capricorn: [Add your interpretation here]
3,Sun,Gemini,Sun in Gemini: [Add your interpretation here]
5,Sun,Leo,Sun in Leo: [Add your interpretation here]
7,Sun,Libra,Sun in Libra: [Add your interpretation here]
12,Sun,Pisces,Sun in Pisces: [Add your interpretation here]
9,Sun,Sagittarius,Sun in Sagittarius: [Add your interpretation here]
8,Sun,Scorpio,Sun in Scorpio: [Add your interpretation here]
2,Sun,Taurus,Sun in Taurus: [Add your interpretation here]
6,Sun,Virgo,Sun in Virgo: [Add your interpretation here]
95,Uranus,Aquarius,Uranus in Aquarius: [Add your interpretation here]
85,Uranus,Aries,Uranus in Aries: [Add your interpretation here]
88,Uranus,Cancer,Uranus in Cancer: [Add your interpretation here]
94,Uranus,Capricorn,Uranus in Capricorn: [Add your interpretation here]
87,Uranus,Gemini,Uranus in Gemini: [Add your interpretation here]
89,Uranus,Leo,Uranus in Leo: [Add your interpretation here]
91,Uranus,Libra,Uranus in Libra: [Add your interpretation here]
96,Uranus,Pisces,Uranus in Pisces: [Add your interpretation here]
93,Uranus,Sagittarius,Uranus in Sagittarius: [Add your interpretation here]
92,Uranus,Scorpio,Uranus in Scorpio: [Add your interpretation here]
86,Uranus,Taurus,Uranus in Taurus: [Add your interpretation here]
90,Uranus,Virgo,Uranus in Virgo: [Add your interpretation here]
47,Venus,Aquarius,Venus in Aquarius: [Add your interpretation here]
37,Venus,Aries,Venus in Aries: [Add your interpretation here]
40,Venus,Cancer,Venus in Cancer: [Add your interpretation here]
46,Venus,Capricorn,Venus in Capricorn: [Add your interpretation here]
39,Venus,Gemini,Venus in Gemini: [Add your interpretation here]
41,Venus,Leo,Venus in Leo: [Add your interpretation here]
43,Venus,Libra,Venus in Libra: [Add your interpretation here]
48,Venus,Pisces,Venus in Pisces: [Add your interpretation here]
45,Venus,Sagittarius,Venus in Sagittarius: [Add your interpretation here]
44,Venus,Scorpio,Venus in Scorpio: [Add your interpretation here]
38,Venus,Taurus,Venus in Taurus: [Add your interpretation here]
42,Venus,Virgo,Venus in Virgo: [Add your interpretation here]
